,director_name,num_critic_for_reviews,duration,director_facebook_likes,movie_title,imdb_score
1285,Michael Caton-Jones,104.0,108.0,105.0,City by the Sea ,6.2
1286,Irwin Winkler,55.0,128.0,34.0,At First Sight ,5.9
1287,Joseph Kahn,86.0,84.0,33.0,Torque ,4.0
1288,Harold Becker,50.0,111.0,17.0,City Hall ,6.2
1289,Paul Verhoeven,181.0,131.0,719.0,Showgirls ,4.6
1290,Sofia Coppola,260.0,123.0,0.0,Marie Antoinette ,6.4
1291,Barbet Schroeder,40.0,101.0,58.0,Kiss of Death ,5.9
1292,Stephen Kay,102.0,102.0,19.0,Get Carter ,5.1
1293,J.A. Bayona,371.0,114.0,171.0,The Impossible ,7.6
1294,Elaine May,49.0,107.0,124.0,Ishtar ,4.2
1295,Wes Anderson,335.0,87.0,0.0,Fantastic Mr. Fox ,7.8
1296,Stephen Herek,86.0,103.0,65.0,Life or Something Like It ,5.8
1297,John Carpenter,40.0,99.0,0.0,Memoirs of an Invisible Man ,5.9
1298,Jean-Pierre Jeunet,242.0,122.0,0.0,Amélie ,8.4
1299,Dennie Gordon,70.0,91.0,29.0,New York Minute ,4.8
1300,Charles Shyer,135.0,103.0,14.0,Alfie ,6.2
1301,Ken Kwapis,125.0,107.0,42.0,Big Miracle ,6.5
1302,Ulu Grosbard,54.0,106.0,22.0,The Deep End of the Ocean ,6.3
1303,William Malone,104.0,101.0,37.0,Feardotcom ,3.3
1304,Paul Weitz,157.0,109.0,80.0,Cirque du Freak: The Vampire's Assistant ,5.9
1305,Paul McGuigan,159.0,110.0,118.0,Victor Frankenstein ,6.0
1306,Danny DeVito,78.0,89.0,0.0,Duplex ,5.8
1307,Malcolm D. Lee,88.0,100.0,92.0,Soul Men ,6.5
1308,Jerry Jameson,32.0,119.0,5.0,Raise the Titanic ,4.7
1309,Mic Rodgers,75.0,83.0,7.0,Universal Soldier: The Return ,4.1
1310,Christian Alvart,219.0,108.0,22.0,Pandorum ,6.8
1311,Gary Fleder,83.0,102.0,39.0,Impostor ,6.2
1312,Christian Duguay,53.0,93.0,18.0,Extreme Ops ,4.5
1313,Jean-Marie Poiré,61.0,84.0,8.0,Just Visiting ,5.8
1314,Danny Boyle,308.0,107.0,0.0,Sunshine ,7.3
1315,Brian Robbins,70.0,91.0,48.0,A Thousand Words ,5.9
1316,Marc F. Adler,41.0,94.0,0.0,Delgo ,4.4
1317,Pierre Morel,224.0,115.0,180.0,The Gunman ,5.8
1318,Geoffrey Sax,66.0,93.0,13.0,Alex Rider: Operation Stormbreaker ,5.1
1319,D.J. Caruso,253.0,105.0,154.0,Disturbia ,6.9
1320,Iain Softley,79.0,107.0,34.0,Hackers ,6.2
1321,Richard Shepard,94.0,101.0,47.0,The Hunting Party ,6.9
1322,Joel Coen,77.0,111.0,0.0,The Hudsucker Proxy ,7.3
1323,Peter Ho-Sun Chan,106.0,113.0,31.0,The Warlords ,7.1
1324,Sergey Bodrov,30.0,112.0,44.0,Nomad: The Warrior ,6.0
1325,Joon-ho Bong,488.0,126.0,584.0,Snowpiercer ,7.0
1326,Bibo Bergeron,63.0,90.0,10.0,A Monster in Paris ,6.8
1327,Jeff Nathanson,42.0,93.0,23.0,The Last Shot ,5.7
1328,Alex Proyas,118.0,98.0,295.0,The Crow ,7.6
1329,S.S. Rajamouli,44.0,159.0,50.0,Baahubali: The Beginning ,8.4
1330,Robert Schwentke,214.0,107.0,124.0,The Time Traveler's Wife ,7.1
1331,Michael Lehmann,110.0,102.0,36.0,Because I Said So ,5.6
1332,Rob Cohen,187.0,106.0,357.0,The Fast and the Furious ,6.7
1333,Tim Burton,370.0,87.0,13000.0,Frankenweenie ,7.0
1334,Joss Whedon,276.0,119.0,0.0,Serenity ,8.0
1335,Charles S. Dutton,76.0,110.0,534.0,Against the Ropes ,5.3
1336,Richard Lester,95.0,125.0,44.0,Superman III ,4.9
1337,Peter Segal,211.0,113.0,88.0,Grudge Match ,6.4
1338,John Woo,160.0,150.0,610.0,Red Cliff ,7.4
1339,Andy Tennant,97.0,108.0,72.0,Sweet Home Alabama ,6.1
1340,Robert Luketic,174.0,96.0,126.0,The Ugly Truth ,6.5
1341,Jonathan Lynn,23.0,93.0,36.0,Sgt. Bilko ,5.7
1342,Robert Rodriguez,103.0,100.0,0.0,Spy Kids 2: Island of Lost Dreams ,5.1
1343,David Carson,98.0,118.0,18.0,Star Trek: Generations ,6.6
1344,Kar-Wai Wong,273.0,122.0,0.0,The Grandmaster ,6.5
1345,Francis Lawrence,279.0,120.0,508.0,Water for Elephants ,6.9
1346,,22.0,60.0,,3rd Rock from the Sun             ,7.8
1347,Yuefeng Song,4.0,88.0,0.0,Dragon Nest: Warriors' Dawn ,6.4
1348,Norman Jewison,65.0,146.0,278.0,The Hurricane ,7.6
1349,Michael Apted,98.0,115.0,150.0,Enough ,5.6
1350,David Mirkin,116.0,123.0,7.0,Heartbreakers ,6.2
1351,Andy Fickman,76.0,94.0,99.0,Paul Blart: Mall Cop 2 ,4.4
1352,Luis Mandoki,106.0,102.0,43.0,Angel Eyes ,5.6
1353,John Pasquin,55.0,98.0,11.0,Joe Somebody ,5.5
1354,Roman Polanski,172.0,133.0,2000.0,The Ninth Gate ,6.7
1355,Michael Apted,47.0,118.0,150.0,Extreme Measures ,6.1
1356,Stephen Herek,107.0,105.0,65.0,Rock Star ,6.2
1357,Lee Daniels,323.0,109.0,304.0,Precious ,7.3
1358,Ridley Scott,37.0,129.0,0.0,White Squall ,6.6
1359,John Carpenter,297.0,109.0,0.0,The Thing ,8.2
1360,David Twohy,302.0,127.0,123.0,Riddick ,6.4
1361,Jeb Stuart,38.0,118.0,11.0,Switchback ,6.4
1362,Steve Miner,31.0,110.0,49.0,Texas Rangers ,5.2
1363,Gil Kenan,118.0,90.0,27.0,City of Ember ,6.5
1364,Paul Thomas Anderson,546.0,144.0,0.0,The Master ,7.1
1365,David Leland,21.0,97.0,2.0,Virgin Territory ,4.8
1366,Gary Fleder,86.0,130.0,39.0,The Express ,7.3
1367,J Blakeson,194.0,112.0,5.0,The 5th Wave ,5.2
1368,Ryan Coogler,437.0,133.0,0.0,Creed ,7.7
1369,Ben Affleck,378.0,150.0,0.0,The Town ,7.6
1370,Kirk Jones,170.0,110.0,52.0,What to Expect When You're Expecting ,5.7
1371,Ethan Coen,341.0,96.0,1000.0,Burn After Reading ,7.0
1372,Jennifer Flackett,139.0,96.0,3.0,Nim's Island ,6.0
1373,Ron Howard,393.0,123.0,2000.0,Rush ,8.1
1374,Paul Thomas Anderson,224.0,188.0,0.0,Magnolia ,8.0
1375,Kevin Smith,203.0,107.0,0.0,Cop Out ,5.6
1376,Christian Ditter,148.0,110.0,11.0,How to Be Single ,6.1
1377,Charles Martin Smith,131.0,113.0,188.0,Dolphin Tale ,6.9
1378,Catherine Hardwicke,350.0,122.0,308.0,Twilight ,5.2
1379,Nick Cassavetes,129.0,116.0,415.0,John Q ,7.0
1380,Les Mayfield,40.0,93.0,10.0,Blue Streak ,6.3
1381,Rawson Marshall Thurber,289.0,118.0,43.0,We're the Millers ,7.0
1382,Fedor Bondarchuk,14.0,115.0,35.0,Obitaemyy ostrov ,5.3
1383,Jonathan Mostow,72.0,93.0,84.0,Breakdown ,6.9
1384,Irvin Kershner,89.0,121.0,883.0,Never Say Never Again ,6.2
1385,Steve Pink,265.0,101.0,38.0,Hot Tub Time Machine ,6.4
1386,Charles Martin Smith,54.0,107.0,188.0,Dolphin Tale 2 ,6.4
1387,John Frankenheimer,126.0,124.0,287.0,Reindeer Games ,5.7
1388,F. Gary Gray,110.0,109.0,473.0,A Man Apart ,6.1
1389,Cameron Crowe,138.0,105.0,488.0,Aloha ,5.4
1390,Rob Reiner,31.0,130.0,0.0,Ghosts of Mississippi ,6.7
1391,Scott Hicks,95.0,127.0,96.0,Snow Falling on Cedars ,6.8
1392,Mikael Håfström,267.0,114.0,101.0,The Rite ,6.0
1393,Andrew Niccol,175.0,106.0,487.0,Gattaca ,7.8
1394,Andrew Bergman,63.0,95.0,31.0,Isn't She Great ,5.3
1395,Kirk De Micco,85.0,81.0,16.0,Space Chimps ,4.5
1396,Chris Rock,44.0,95.0,0.0,Head of State ,5.4
1397,Todd Phillips,334.0,108.0,480.0,The Hangover ,7.8
1398,Wilson Yip,78.0,105.0,25.0,Ip Man 3 ,7.2
1399,Jay Roach,199.0,95.0,116.0,Austin Powers: The Spy Who Shagged Me ,6.6
1400,Tim Burton,186.0,126.0,13000.0,Batman ,7.6
1401,Roland Joffé,77.0,102.0,596.0,There Be Dragons ,5.9
1402,Richard Donner,68.0,121.0,503.0,Lethal Weapon 3 ,6.7
1403,John Lee Hancock,261.0,129.0,102.0,The Blind Side ,7.7
1404,,5.0,43.0,,Rush Hour             ,5.8
1405,Robert Rodriguez,122.0,88.0,0.0,Spy Kids ,5.4
1406,Seth Gordon,340.0,106.0,91.0,Horrible Bosses ,6.9
1407,Ethan Coen,493.0,110.0,1000.0,True Grit ,7.7
1408,David Frankel,208.0,109.0,64.0,The Devil Wears Prada ,6.8
1409,Robert Wise,134.0,143.0,338.0,Star Trek: The Motion Picture ,6.4
1410,Seth Gordon,275.0,120.0,91.0,Identity Thief ,5.7
1411,Martin Scorsese,120.0,128.0,17000.0,Cape Fear ,7.3
1412,Robert Luketic,144.0,123.0,126.0,21 ,6.8
1413,Judd Apatow,332.0,129.0,0.0,Trainwreck ,6.3
1414,Kevin Rodney Sullivan,104.0,105.0,8.0,Guess Who ,5.9
1415,Anthony Minghella,116.0,162.0,333.0,The English Patient ,7.4
1416,Curtis Hanson,177.0,138.0,161.0,L.A. Confidential ,8.3
1417,Mike Mitchell,127.0,100.0,31.0,Sky High ,6.2
1418,Frank Oz,83.0,90.0,0.0,In & Out ,6.3
1419,Roger Donaldson,97.0,108.0,79.0,Species ,5.8
1420,Wes Craven,256.0,101.0,0.0,A Nightmare on Elm Street ,7.5
1421,Tarsem Singh,225.0,109.0,763.0,The Cell ,6.3
1422,Randall Wallace,83.0,132.0,130.0,The Man in the Iron Mask ,6.4
1423,Randall Wallace,160.0,123.0,130.0,Secretariat ,7.2
1424,Kevin Munroe,191.0,87.0,14.0,TMNT ,6.3
1425,Michael Tollin,74.0,109.0,19.0,Radio ,6.9
1426,Will Gluck,238.0,109.0,87.0,Friends with Benefits ,6.6
1427,Nicholas Stoller,177.0,92.0,89.0,Neighbors 2: Sorority Rising ,6.0
1428,John Lee Hancock,405.0,125.0,102.0,Saving Mr. Banks ,7.5
1429,Spike Lee,61.0,202.0,0.0,Malcolm X ,7.7
1430,Judd Apatow,285.0,134.0,0.0,This Is 40 ,6.2
1431,Walt Becker,124.0,88.0,12.0,Old Dogs ,5.4
1432,Patrick Tatopoulos,164.0,92.0,148.0,Underworld: Rise of the Lycans ,6.6
1433,Ken Kwapis,120.0,91.0,42.0,License to Wed ,5.3
1434,Dennis Dugan,90.0,75.0,221.0,The Benchwarmers ,5.6
1435,Gary David Goldberg,120.0,98.0,30.0,Must Love Dogs ,5.9
1436,Mike Newell,117.0,147.0,179.0,Donnie Brasco ,7.8
1437,Paul W.S. Anderson,226.0,100.0,545.0,Resident Evil ,6.7
1438,Tobe Hooper,223.0,120.0,365.0,Poltergeist ,7.4
1439,Ethan Coen,193.0,104.0,1000.0,The Ladykillers ,6.2
1440,John Moore,228.0,103.0,212.0,Max Payne ,5.4
1441,Andrew Niccol,360.0,109.0,487.0,In Time ,6.7
1442,Alan Poul,148.0,104.0,16.0,The Back-up Plan ,5.3
1443,Luke Greenfield,128.0,112.0,42.0,Something Borrowed ,5.9
1444,,3.0,60.0,,Hit the Floor             ,7.0
1445,Gil Junger,46.0,95.0,19.0,Black Knight ,4.8
1446,Michael Ritchie,40.0,102.0,23.0,The Bad News Bears ,7.3
1447,Steven E. de Souza,63.0,102.0,133.0,Street Fighter ,3.8
1448,Roman Polanski,193.0,150.0,2000.0,The Pianist ,8.5
1449,Albert Hughes,208.0,122.0,117.0,From Hell ,6.8
1450,Catherine Hardwicke,122.0,101.0,308.0,The Nativity Story ,6.8
1451,Jaume Collet-Serra,228.0,108.0,174.0,House of Wax ,5.3
1452,Mike Nichols,212.0,98.0,0.0,Closer ,7.3
1453,Clint Eastwood,392.0,137.0,16000.0,J. Edgar ,6.6
1454,Alexandre Aja,208.0,112.0,192.0,Mirrors ,6.2
1455,Michael Rymer,137.0,101.0,48.0,Queen of the Damned ,5.2
1456,Stephen Hopkins,119.0,103.0,81.0,Predator 2 ,6.2
1457,Gregory Hoblit,195.0,101.0,40.0,Untraceable ,6.2
1458,Hugh Wilson,95.0,112.0,37.0,Blast from the Past ,6.6
1459,Mike Hodges,100.0,111.0,24.0,Flash Gordon ,6.4
1460,Kevin Smith,164.0,102.0,0.0,Jersey Girl ,6.2
1461,Rob Cohen,211.0,101.0,357.0,Alex Cross ,5.1
1462,Clint Eastwood,91.0,155.0,16000.0,Midnight in the Garden of Good and Evil ,6.6
1463,Scott Mann,44.0,93.0,8.0,Heist ,6.1
1464,Susanna White,97.0,109.0,24.0,Nanny McPhee Returns ,6.1
1465,Danny DeVito,32.0,140.0,0.0,Hoffa ,6.6
1466,Chris Carter,270.0,108.0,251.0,The X Files: I Want to Believe ,5.9
1467,Tommy O'Haver,89.0,96.0,13.0,Ella Enchanted ,6.3
1468,Peter Landesman,219.0,123.0,15.0,Concussion ,7.1
1469,John Singleton,180.0,106.0,309.0,Abduction ,5.0
1470,Gary Chapman,93.0,76.0,2.0,Valiant ,5.6
1471,Curtis Hanson,173.0,107.0,161.0,Wonder Boys ,7.4
1472,Craig Mazin,121.0,82.0,82.0,Superhero Movie ,4.5
1473,Allen Hughes,298.0,109.0,90.0,Broken City ,6.2
1474,Wes Craven,158.0,99.0,0.0,Cursed ,5.0
1475,David Koepp,248.0,91.0,192.0,Premium Rush ,6.5
1476,Anne Fletcher,155.0,87.0,98.0,Hot Pursuit ,5.1
1477,Shekhar Kapur,105.0,125.0,159.0,The Four Feathers ,6.5
1478,Taylor Hackford,224.0,118.0,138.0,Parker ,6.2
1479,Richard Loncraine,129.0,98.0,12.0,Wimbledon ,6.3
1480,Roger Kumble,101.0,92.0,16.0,Furry Vengeance ,3.8
1481,Kimble Rendall,145.0,93.0,0.0,Bait ,5.2
1482,Peter Yates,57.0,116.0,170.0,Krull ,6.0
1483,Robert Redford,227.0,92.0,0.0,Lions for Lambs ,6.2
1484,John Milius,13.0,115.0,468.0,Flight of the Intruder ,5.7
1485,Jake Kasdan,171.0,120.0,52.0,Walk Hard: The Dewey Cox Story ,6.7
1486,Lasse Hallström,119.0,111.0,529.0,The Shipping News ,6.8
1487,Les Mayfield,44.0,94.0,10.0,American Outlaws ,6.0
1488,Jean-Marc Vallée,188.0,100.0,212.0,The Young Victoria ,7.3
1489,Dominic Sena,166.0,101.0,57.0,Whiteout ,5.5
1490,Terrence Malick,584.0,139.0,0.0,The Tree of Life ,6.7
1491,Hark Tsui,67.0,91.0,85.0,Knock Off ,4.8
1492,David Ayer,233.0,109.0,453.0,Sabotage ,5.7
1493,Brian Helgeland,112.0,102.0,241.0,The Order ,5.1
1494,Lexi Alexander,151.0,103.0,189.0,Punisher: War Zone ,6.0
1495,Peter Hewitt,63.0,83.0,12.0,Zoom ,4.2
1496,Robert Zemeckis,335.0,123.0,0.0,The Walk ,7.4
1497,Ronny Yu,24.0,101.0,31.0,Warriors of Virtue ,4.6
1498,Ridley Scott,147.0,117.0,0.0,A Good Year ,6.9
1499,,51.0,60.0,,Luther             ,8.6
1500,Richard Donner,10.0,114.0,503.0,Radio Flyer ,6.9
1501,Taylor Hackford,12.0,330.0,138.0,"Blood In, Blood Out ",8.0
1502,Bille August,50.0,121.0,55.0,Smilla's Sense of Snow ,6.4
1503,Brian De Palma,149.0,114.0,0.0,Femme Fatale ,6.3
1504,Moustapha Akkad,24.0,156.0,278.0,Lion of the Desert ,8.4
1505,Jean-Paul Rappeneau,28.0,135.0,22.0,The Horseman on the Roof ,7.1
1506,Ang Lee,95.0,148.0,0.0,Ride with the Devil ,6.8
1507,Alejandro G. Iñárritu,288.0,148.0,0.0,Biutiful ,7.5
1508,Roland Joffé,10.0,109.0,596.0,The Lovers ,4.5
1509,Joachim Rønning,58.0,93.0,18.0,Bandidas ,5.7
1510,Tony Kaye,,,194.0,Black Water Transit ,7.2
1511,Wes Ball,297.0,113.0,47.0,The Maze Runner ,6.8
1512,Ken Scott,90.0,91.0,31.0,Unfinished Business ,5.4
1513,Martin Scorsese,56.0,139.0,17000.0,The Age of Innocence ,7.2
1514,Darren Aronofsky,274.0,96.0,0.0,The Fountain ,7.3
1515,Hugh Johnson,68.0,102.0,3.0,Chill Factor ,5.2
1516,Simon West,98.0,96.0,165.0,Stolen ,5.5
1517,Hayao Miyazaki,256.0,101.0,6000.0,Ponyo ,7.7
1518,George Tillman Jr.,117.0,128.0,88.0,The Longest Ride ,7.1
1519,Rand Ravich,107.0,109.0,7.0,The Astronaut's Wife ,5.3
1520,Hugh Hudson,52.0,114.0,46.0,I Dreamed of Africa ,5.6
1521,Gabriele Muccino,135.0,105.0,125.0,Playing for Keeps ,5.7
1522,Justin Chadwick,211.0,141.0,56.0,Mandela: Long Walk to Freedom ,7.1
1523,Warren Beatty,57.0,195.0,631.0,Reds ,7.5
1524,Rob Reiner,81.0,138.0,0.0,A Few Good Men ,7.6
1525,Andrzej Bartkowiak,107.0,101.0,43.0,Exit Wounds ,5.5
1526,Raja Gosnell,100.0,99.0,67.0,Big Momma's House ,5.1
1527,Jeremy Degruson,60.0,85.0,0.0,Thunder and the House of Magic ,6.3
1528,Chris Gorak,195.0,89.0,21.0,The Darkest Hour ,4.9
1529,Scott Speer,121.0,99.0,35.0,Step Up Revolution ,6.5
1530,David R. Ellis,285.0,105.0,160.0,Snakes on a Plane ,5.6
1531,Joe Charbanic,103.0,97.0,10.0,The Watcher ,5.3
1532,Jonathan Hensleigh,192.0,140.0,36.0,The Punisher ,6.5
1533,Danny Cannon,90.0,118.0,41.0,Goal! The Dream Begins ,6.8
1534,Boaz Yakin,258.0,94.0,132.0,Safe ,6.5
1535,Mike Newell,56.0,124.0,179.0,Pushing Tin ,6.0
1536,Richard Marquand,197.0,134.0,37.0,Star Wars: Episode VI - Return of the Jedi ,8.4
1537,Neil Marshall,254.0,113.0,197.0,Doomsday ,6.0
1538,Stephen Daldry,299.0,124.0,335.0,The Reader ,7.6
1539,David Wain,163.0,98.0,136.0,Wanderlust ,5.6
1540,Jon Favreau,152.0,97.0,4000.0,Elf ,6.9
1541,Jon Turteltaub,53.0,123.0,226.0,Phenomenon ,6.4
1542,Brian Levant,67.0,99.0,32.0,Snow Dogs ,5.1
1543,Richard Donner,88.0,101.0,503.0,Scrooged ,7.0
1544,Jared Hess,163.0,92.0,100.0,Nacho Libre ,5.7
1545,Paul Feig,371.0,131.0,176.0,Bridesmaids ,6.8
1546,Evan Goldberg,418.0,107.0,133.0,This Is the End ,6.7
1547,Rupert Wainwright,131.0,103.0,9.0,Stigmata ,6.2
1548,George Tillman Jr.,98.0,129.0,88.0,Men of Honor ,7.2
1549,John Luessenhop,119.0,107.0,34.0,Takers ,6.2
1550,Justin Zackham,133.0,89.0,16.0,The Big Wedding ,5.6
1551,John Whitesell,88.0,113.0,14.0,"Big Mommas: Like Father, Like Son ",4.4
1552,Duncan Jones,522.0,93.0,0.0,Source Code ,7.5
1553,Frank Marshall,43.0,120.0,155.0,Alive ,7.1
1554,Joel Schumacher,224.0,98.0,541.0,The Number 23 ,6.4
1555,Jean-Pierre Jeunet,122.0,105.0,0.0,The Young and Prodigious T.S. Spivet ,7.1
1556,Steven Spielberg,56.0,142.0,14000.0,1941 ,5.9
1557,John Gatins,75.0,98.0,61.0,Dreamer: Inspired by a True Story ,6.9
1558,David Cronenberg,441.0,96.0,0.0,A History of Violence ,7.5
1559,Louis Leterrier,163.0,87.0,255.0,Transporter 2 ,6.3
1560,Sam Raimi,63.0,107.0,0.0,The Quick and the Dead ,6.4
1561,Peter Howitt,90.0,90.0,29.0,Laws of Attraction ,5.9
1562,Martin Scorsese,163.0,121.0,17000.0,Bringing Out the Dead ,6.8
1563,Miguel Sapochnik,197.0,119.0,238.0,Repo Men ,6.3
1564,Hyung-rae Shim,93.0,107.0,26.0,Dragon Wars: D-War ,3.6
1565,Norman Jewison,15.0,110.0,278.0,Bogus ,5.3
1566,Don Scardino,260.0,100.0,35.0,The Incredible Burt Wonderstone ,5.9
1567,Mark Dindal,18.0,75.0,10.0,Cats Don't Dance ,6.9
1568,Tim Robbins,70.0,132.0,0.0,Cradle Will Rock ,6.9
1569,Steven Soderbergh,183.0,105.0,0.0,The Good German ,6.1
1570,Tom Reeve,12.0,93.0,0.0,George and the Dragon ,5.7
1571,Francis Ford Coppola,261.0,289.0,0.0,Apocalypse Now ,8.5
1572,Nanette Burstein,167.0,102.0,8.0,Going the Distance ,6.3
1573,Stephen Herek,42.0,143.0,65.0,Mr. Holland's Opus ,7.3
1574,Ariel Vromen,130.0,113.0,34.0,Criminal ,6.3
1575,Sydney Pollack,66.0,161.0,521.0,Out of Africa ,7.2
1576,Robert Zemeckis,449.0,138.0,0.0,Flight ,7.3
1577,Lewis Gilbert,121.0,126.0,43.0,Moonraker ,6.3
1578,Wes Anderson,536.0,99.0,0.0,The Grand Budapest Hotel ,8.1
1579,Scott Hicks,135.0,101.0,96.0,Hearts in Atlantis ,6.9
1580,Frank Marshall,74.0,103.0,155.0,Arachnophobia ,6.3
1581,Gregory Hoblit,168.0,118.0,40.0,Frequency ,7.3
1582,Paul Feig,464.0,116.0,176.0,Ghostbusters ,5.5
1583,John Francis Daley,204.0,99.0,0.0,Vacation ,6.1
1584,Barry Sonnenfeld,96.0,105.0,188.0,Get Shorty ,6.9
1585,Rob Marshall,223.0,113.0,252.0,Chicago ,7.2
1586,Dennis Dugan,112.0,93.0,221.0,Big Daddy ,6.4
1587,J.B. Rogers,142.0,108.0,6.0,American Pie 2 ,6.4
1588,John Lasseter,166.0,74.0,487.0,Toy Story ,8.3
1589,Jan de Bont,114.0,116.0,101.0,Speed ,7.2
1590,Michael Sucsy,214.0,104.0,23.0,The Vow ,6.8
1591,Tom Vaughan,126.0,106.0,12.0,Extraordinary Measures ,6.5
1592,Boaz Yakin,157.0,120.0,132.0,Remember the Titans ,7.8
1593,John McTiernan,104.0,135.0,323.0,The Hunt for Red October ,7.6
1594,Lee Daniels,304.0,132.0,304.0,Lee Daniels' The Butler ,7.2
1595,Rawson Marshall Thurber,191.0,92.0,43.0,Dodgeball: A True Underdog Story ,6.7
1596,Barry Sonnenfeld,55.0,99.0,188.0,The Addams Family ,6.8
1597,Steve Oedekerk,59.0,90.0,176.0,Ace Ventura: When Nature Calls ,6.3
1598,Garry Marshall,108.0,111.0,0.0,The Princess Diaries ,6.2
1599,Hugh Wilson,50.0,103.0,37.0,The First Wives Club ,6.2
1600,David Fincher,216.0,127.0,21000.0,Se7en ,8.6
1601,Neill Blomkamp,472.0,112.0,662.0,District 9 ,8.0
1602,Stephen Hillenburg,89.0,87.0,47.0,The SpongeBob SquarePants Movie ,7.0
1603,Clint Eastwood,229.0,138.0,16000.0,Mystic River ,8.0
1604,Clint Eastwood,268.0,132.0,16000.0,Million Dollar Baby ,8.1
1605,Harold Ramis,145.0,103.0,11000.0,Analyze This ,6.7
1606,Nick Cassavetes,177.0,123.0,415.0,The Notebook ,7.9
1607,Anne Fletcher,175.0,111.0,98.0,27 Dresses ,6.1
1608,Peter Chelsom,131.0,102.0,23.0,Hannah Montana: The Movie ,4.2
1609,Stig Bergqvist,41.0,78.0,0.0,Rugrats in Paris: The Movie ,6.1
1610,Barbra Streisand,30.0,132.0,0.0,The Prince of Tides ,6.6
1611,Edward Zwick,57.0,133.0,380.0,Legends of the Fall ,7.5
1612,Jason Reitman,391.0,108.0,655.0,Up in the Air ,7.4
1613,Alexander Payne,217.0,125.0,729.0,About Schmidt ,7.2
1614,Jonathan Levine,452.0,98.0,129.0,Warm Bodies ,6.9
1615,Rian Johnson,589.0,119.0,0.0,Looper ,7.4
1616,Chris Weitz,61.0,87.0,129.0,Down to Earth ,5.4
1617,Chris Noonan,79.0,91.0,108.0,Babe ,6.8
1618,David Frankel,234.0,100.0,64.0,Hope Springs ,6.3
1619,Nicholas Stoller,253.0,118.0,89.0,Forgetting Sarah Marshall ,7.2
1620,,51.0,44.0,,Friday Night Lights             ,8.7
1621,John Singleton,123.0,109.0,309.0,Four Brothers ,6.9
1622,Michael McCullers,145.0,99.0,5.0,Baby Mama ,6.0
1623,Forest Whitaker,65.0,114.0,0.0,Hope Floats ,5.9
1624,Gary Winick,152.0,89.0,56.0,Bride Wars ,5.4
1625,Steven Brill,94.0,95.0,65.0,Without a Paddle ,5.9
1626,Gary Winick,119.0,98.0,56.0,13 Going on 30 ,6.1
1627,Woody Allen,487.0,94.0,11000.0,Midnight in Paris ,7.7
1628,Peter Lepeniotis,121.0,85.0,7.0,The Nut Job ,5.8
1629,Ted Demme,147.0,124.0,47.0,Blow ,7.6
1630,Luis Mandoki,85.0,131.0,43.0,Message in a Bottle ,6.1
1631,William Shatner,98.0,107.0,0.0,Star Trek V: The Final Frontier ,5.4
1632,John Schultz,39.0,99.0,13.0,Like Mike ,5.1
1633,Peter Segal,43.0,83.0,88.0,Naked Gun 33 1/3: The Final Insult ,6.4
1634,John Glen,108.0,131.0,46.0,A View to a Kill ,6.3
1635,Steve Box,209.0,85.0,9.0,The Curse of the Were-Rabbit ,7.5
1636,Richard LaGravenese,131.0,126.0,98.0,P.S. I Love You ,7.1
1637,Frederik Du Chau,73.0,102.0,7.0,Racing Stripes ,5.2
1638,Joe Wright,316.0,123.0,456.0,Atonement ,7.8
1639,Gary Winick,159.0,105.0,56.0,Letters to Juliet ,6.5
1640,Ridley Scott,63.0,125.0,0.0,Black Rain ,6.6
1641,Bobby Farrelly,162.0,92.0,101.0,The Three Stooges ,5.1
1642,Tim Burton,267.0,77.0,13000.0,Corpse Bride ,7.4
1643,James Gartner,95.0,118.0,0.0,Glory Road ,7.2
1644,Denis Villeneuve,478.0,121.0,777.0,Sicario ,7.6
1645,Antoine Fuqua,305.0,124.0,845.0,Southpaw ,7.5
1646,Sam Raimi,397.0,99.0,0.0,Drag Me to Hell ,6.6
1647,Lee Toland Krieger,214.0,112.0,43.0,The Age of Adaline ,7.2
1648,Tim McCanlies,82.0,111.0,23.0,Secondhand Lions ,7.6
1649,Jon M. Chu,138.0,107.0,209.0,Step Up 3D ,6.2
1650,John Stockwell,69.0,104.0,134.0,Blue Crush ,5.6
1651,Marc Forster,253.0,113.0,395.0,Stranger Than Fiction ,7.6
1652,David Slade,304.0,113.0,171.0,30 Days of Night ,6.6
1653,Drew Goddard,634.0,95.0,246.0,The Cabin in the Woods ,7.0
1654,Jason Friedberg,111.0,86.0,82.0,Meet the Spartans ,2.7
1655,Martin Brest,77.0,126.0,102.0,Midnight Run ,7.6
1656,Paul Michael Glaser,120.0,101.0,343.0,The Running Man ,6.6
1657,Frank Oz,63.0,102.0,0.0,Little Shop of Horrors ,6.9
1658,Joe Wright,417.0,111.0,456.0,Hanna ,6.8
1659,,9.0,60.0,,The Family             ,7.5
1660,John R. Leonetti,59.0,95.0,40.0,Mortal Kombat: Annihilation ,3.7
1661,Tom Hanks,218.0,98.0,15000.0,Larry Crowne ,6.1
1662,Kimberly Peirce,359.0,100.0,108.0,Carrie ,5.9
1663,Liz Friedlander,101.0,118.0,3.0,Take the Lead ,6.7
1664,,52.0,28.0,,Entourage             ,8.5
1665,Phil Joanou,85.0,125.0,21.0,Gridiron Gang ,6.9
1666,Sam Weisman,64.0,94.0,39.0,What's the Worst That Could Happen? ,5.5
1667,Shane Acker,263.0,79.0,30.0,9 ,7.1
